tag,sentence
['obligation'],berkshire shall indemnify and hold auriemma harmless from and against any and all claim action suit proceeding loss damage and expense including without limitation reasonable attorney consultant and expert fee collectively claim arising out of or relating to any inaccuracy or breach of berkshire s representation warranty covenant or any claim or other cause of action arising out of or in connection with this agreement including action based upon gross negligence of berkshire under this agreement provided that berkshire shall be given prompt notice of any such action or claim
['obligation'],within sixty day after such termination date shall remove and cease to use all ediets content provided or made available for use or display on the gateway page pursuant to or in connection with this agreement
['obligation'],you agree to keep your copy of the manual and to comply with each new or changed standard promptly upon receipt of notice from u
['obligation'],aimmune shall procure and maintain insurance including clinical trial insurance and product liability insurance adequate to cover it obligation hereunder and which is consistent with normal business practice of prudent company similarly situated at all time during which the product is being clinically tested in human subject or commercially distributed or sold by aimmune pursuant to this agreement provided that any such clinical trial insurance coverage shall prior to the first commercial sale of a product in no event be le than dollar per loss occurrence and product liability insurance coverage shall after such first commercial sale in no event be le than dollar per loss occurrence
['obligation'],whenever our prior written consent is required under this agreement you agree to make a timely written request to u for such consent
['obligation'],distributor shall execute any document or do any act that may be required to accomplish the intent of this section
['obligation'],xencor will allocate adequate appropriately qualified representative to enable aimmune to practice and understand the xencor regulatory material and regulatory data including in connection with the transition of manufacturing responsibility to aimmune
['obligation'],the party upon request of the controlling party agrees to join in any such litigation and in any event to reasonably cooperate with the controlling party in each case at the expense
['obligation'],zynga shall keep full complete and accurate book of account and record collectively record covering all transaction relating to the subject matter of this agreement in sufficient detail to enable the royalty payable hereunder to be determined and verified
['obligation'],distributor shall limit it activity with respect to the product to customer located within the territory and refrain from selling or otherwise transferring directly or indirectly the product to any person outside the territory without the express written consent of company
['obligation'],each party will provide to the other a quarterly report in hard copy and electronic copy if applicable showing the amr product suite sale including the gross proceeds and the production cost
['obligation'],upon the termination of this agreement aimmune will promptly deliver to xencor in electronic sortable form a a list identifying all wholesaler and other distributor involved in the commercialization of the product will reasonably consider providing customer list purchaser where permitted under applicable law and under applicable agreement with third party at xencor s expense related to the commercialization of the product and b all promotional material a well a any item bearing the product trademark or product trade dress any trademark or housemarks otherwise associated with the product or xencor
['obligation'],the party shall promptly inform each other of a breakdown in their respective system or mobile telecommunication network that ha or might have an effect on the hosting service the agreement
['obligation'],within sixty day after such termination date shall to ediets any and all payment made to under this agreement for advertising inventory not yet delivered or run provided that ediets ha paid for such inventory and
['obligation'],each party will at any time and from time to time after the date hereof upon the request of the other do execute acknowledge and deliver or shall cause to be done executed acknowledged and delivered all such other instrument a may be reasonably required in connection with the performance of this agreement and each shall take all such further action a may be reasonably required to carry out or further effect the transaction contemplated by this agreement
['obligation'],network affiliate shall provide written or electronic notice to ncm in the form specified by ncm each time there is a change in it list of imax screen
['obligation'],upon termination of this agreement any and all license granted by one party to the other hereunder shall immediately terminate and the party shall immediately cease the use of the other party mark material or content provided in connection with this agreement and shall remove all link to and from one another site and about shall remove all link between the about network and the insurance center
['obligation'],aimmune shall provide xencor with written notice at least day prior to the cancellation nonrenewal or material change in such insurance or which materially adversely affect the right of xencor hereunder
['obligation'],aimmune shall any recall withdrawal or market notification of the product
['obligation'],deltathree shall reimburse primecall for all customer service expense directly related to user of the calling card
['obligation'],bizzingo will pay all reasonable out of pocket expense incurred by theismann in connection with such session or appearance which expense shall not exceed one thousand dollar per day unless theismann receives prior written approval from bizzingo
['obligation'],at our request but not more often than once every five year and not before the fifth year after you begin operating unless sooner required by your lease you must refurbish the premise at your expense to conform to the restaurant design façade signage trade dress color scheme and presentation of the proprietary mark in a manner consistent with the current image for new pizza fusion restaurant
['obligation'],until such dispute is resolved in accordance with section or final judgment is rendered in accordance with section and section each party agrees that such party shall continue to perform it obligation under this agreement and that such obligation shall not be subject to any defense or setoff counterclaim recoupment or termination
['obligation'],commencing on or about march and continuing throughout the term about shall deliver to ebix the greater of promotional impression or the number of impression a calculated according to the term set forth in section advertising integration imp in the form and manner a set forth on exhibit h
['obligation'],each party shall restrict disclosure of the other party confidential information to it employee and agent with a reasonable need to know such confidential information and shall not disclose the other party confidential information to any third party without the prior written consent of the other party
['obligation'],the blockchain administrator shall also on behalf of the fund conduct relation with custodian depository transfer agent dividend disbursing agent other stockholder servicing agent accountant attorney underwriter broker and dealer corporate fiduciary insurer bank and such other person a the blockchain administrator shall deem to be necessary or desirable in connection with the issuance and transfer of the fund s compatible digital security
['obligation'],shall keep for one year proper record and book of account relating to the computation of advertising payment owed to including a appropriate the computation of the size of average transaction
['obligation'],both party submit to personal jurisdiction in california and further agree that any cause of action arising under this agreement shall be brought in a court in orange county california
['obligation'],network affiliate shall provide written or electronic notice to ncm in the form specified by ncm each time there is a change in it list of excluded theatre
['obligation'],aimmune shall determine the content and frequency of such report but in any event such report will be made a for xencor to remain informed of the safety status of the product to ass monitor and report to regulatory authority information relevant to the safety of product in connection with xencor s effort to obtain regulatory approval of product that are not the product and that and comply with applicable law
['obligation'],following the effective date subject to section aimmune shall be responsible for handling all medical question or inquiry in each country including all product complaint with regard to any product distributed or sold by or on behalf of aimmune or any of the other aimmune agreement entity in each case in accordance with applicable law and this agreement
['obligation'],subject to the distributor fulfilling all the condition in this clause the supplier shall indemnify the distributor defend and hold harmless against any liability incurred by the distributor in respect of damage to property death or personal injury arising from any fault or defect in the design of the product and any reasonable cost claim demand and expense including reasonable attorney fee arising out of or in connection with that liability relevant claim except to the extent the liability arises a a result of the wilful misconduct of the distributor
['obligation'],each party shall bear it own cost and expense including the fee of it professional advisor in relation to the preparation execution and carrying into effect of this agreement and all other document related to it
['obligation'],the party shall then engage in discussion regarding renewal for a period of day
['obligation'],in the event either party proposes to file with the security and exchange commission or the security regulator of any state or other jurisdiction under the security act of a amended the security exchange act of a amended or any other applicable security law a registration statement or any other disclosure document which describes or refers to this agreement such party shall notify the other party of such intention and shall provide such other party with a copy of relevant portion of the proposed filing not le than business day prior to such filing or such shorter period of time a may be required in the circumstance and any revision to such portion of the proposed filing a reasonable time prior to the filing thereof and shall use reasonable effort where practicable to consider such comment to the extent consistent with such party s disclosure obligation under applicable security law or rule of a security exchange
['obligation'],elephant talk shall do it best to stop these action immediately on first request of
['obligation'],to the extent that we establish specification require approval of supplier or designate specific supplier for particular item we will publish our requirement in the manual
['obligation'],within three month of the date hereof deltathree shall establish and administrate a primecall web site the primecall web site in consultation with primecall which will enable primecall to market and sell it calling card via the world wide web and provide support for such sale
['obligation'],subject to auriemma s obligation a the head coach for the university of connecticut woman s basketball team the united state woman s olympic basketball team auriemma shall make himself available for those appearance set forth on schedule a
['obligation'],if such a claim is valid elephant talk shall make the modification needed to cease the infringement at it own expense a soon a possible
['obligation'],ki will participate in the production of up to one product video per license year during the period of this agreement on behalf of diplomat at a mutually acceptable time and place
['obligation'],you agree to comply with all mandatory specification and procedure set forth from time to time in our confidential operating manual the manual
['obligation'],in case of a dispute the party agree to pursue arbitration a the preferred method to seek a remedy and the party waive the right to a jury trial
['obligation'],if we undertake the defense or prosecution of any litigation relating to the proprietary mark you agree to execute any and all document and do the thing that our counsel deems necessary to carry out such defense or prosecution including but not limited to becoming a nominal party to any legal action
['obligation'],you and all of your owner must execute and deliver to u a general release in a form we require of any and all claim against u our affiliate and our past present and future officer director shareholder and employee arising out of or relating to your franchised business
['obligation'],subject to section indemnification requirement and procedure agrees to indemnify defend and forever hold harmless the ediets indemnitees from and against all indemnifiable sum arising out of third party claim to the extent such claim are based upon a content published on the site other than ediets content b the operation of the membership program or c any product or service other than a product or service provided by ediets sold licensed or otherwise made available on the site
['obligation'],upon the expiration or termination of this agreement for any reason i all payment that have accrued prior to the termination or expiration of this agreement will be payable in full within thirty day thereof but any obligation to make further payment due or that may have come due under this agreement shall become null and void ii except a otherwise provided herein the service period and the contract period shall end immediately and berkshire shall promptly cease all use of the auriemma identification including any display document artwork symbol logo trademark trade name photographic or graphic representation depiction other material including but not limited to advertising promotional material which in any way or form hard copy electronic or otherwise use the auriemma identification collectively material except a otherwise set forth herein and iii except a otherwise provided herein berkshire shall promptly remove all link and reference to auriemma and material from it website
['obligation'],you also agree to sign such document a your financial institution may require in order to implement this provision
['obligation'],notwithstanding anything to the contrary contained herein aimmune or it designated third party shall be responsible for all final product labeling and packaging whether in commercial or clinical packaging presentation including material such a patient insert patient medication guide professional insert and any other written printed or graphic material accompanying the product and considered to be part of the finished product packaging and labeling and handling storage quality control quality assurance testing and release collectively packaging and labeling
['obligation'],to the extent that a given country or regulatory jurisdiction requires pricing approval for sale of the product aimmune shall to the extent permitted by applicable law be solely responsible for and shall use commercially reasonable effort toward obtaining and maintaining pricing approval in all such country and regulatory jurisdiction in which it obtains regulatory approval for product in it own name
['obligation'],in addition to any other responsibility stated in this agreement company will a provide at distributor s reasonable request and without charge up to hour of training with regard to any characteristic of the product that distributor deems reasonably necessary for distributor and it employee and agent to fulfill the purpose of distributor s appointment b provide to distributor without charge reasonable quantity of promotional literature brochure and commercial and technical information regarding the product c provide sale support and technical training to distributor and it personnel a deemed reasonably appropriate by company
['obligation'],berkshire shall use the auriemma identification only in such a form and manner a is specifically approved by auriemma and upon the reasonable request by auriemma shall use any reasonable legend marking and notice of trademark right or registration reasonably specified by auriemma or any other notice of auriemma s ownership including copyright
['obligation'],travel expense of ki in connection with all scheduled personal appearance under this agreement a well the travel expense of ki child the child nanny ki hair and assistant of ki choosing and two additional traveling companion of ki choosing collectively referred to a ki entourage shall be provided by diplomat
['obligation'],upon our request you agree to submit to u for our approval an annual proposal and quarterly proposal detailing your plan for implementing your local marketing budget
['obligation'],within sixty day after such termination date shall purge from it server and system all ediets content
['obligation'],deltathree shall also conduct certain mutually agreed to targeted promotion upon the request of primecall
['obligation'],primecall agrees to cooperate and provide necessary support to assist deltathree in providing the service under this section web site development and service and shall be responsible for supplying deltathree with the content and graphic look and feel of the primecall website
['obligation'],you agree to download to u daily or in such other interval that we may require all information and material that we may require in connection with your operation of the franchised business and shall display such information and material in the manner we may prescribe including without limitation to employee of the franchised business
['obligation'],we will make available to you information about new development technique and improvement in the area of operation management and marketing to the same extent a we make the information available to other restaurant franchisees in good standing
['obligation'],chase shall be responsible for administering application form and related customer service
['obligation'],ki and the member of her entourage shall travel via first class air and limousine ground transportation
['obligation'],for this purpose you must purchase the software hardware and other item needed to sell and process gift card a we may specify in writing in the manual or otherwise
['obligation'],subject to section consultant agrees that if in the course of performing the service consultant incorporates into any invention or utilizes in the performance of the service any invention discovery original work of authorship development improvement trade secret concept or other proprietary information or intellectual property right owned by consultant or in which consultant ha an interest prior invention i consultant will provide the company with prior written notice and ii the company is hereby granted a nonexclusive perpetual irrevocable transferable worldwide license with the right to grant and authorize sublicenses to make have made use import offer for sale sell reproduce distribute modify adapt prepare derivative work of display perform and otherwise exploit such prior invention without restriction including without limitation a part of or in connection with such invention and to practice any method related thereto
['obligation'],aimmune shall conduct the development activity in accordance with sound and ethical business and scientific practice and in compliance with all applicable law including gcps and glps and also including all applicable data privacy and data protection law
['obligation'],within day after the effective date of this agreement aimmune shall issue to xencor share of aimmune common stock the share in accordance with that certain stock issuance agreement dated the date hereof by and among xencor and aimmune the stock issuance agreement and pay to xencor by wire transfer of immediately available fund into an account designated in writing by xencor an amount equal to five million dollar together with the issuance of the share the upfront payment
['obligation'],in connection with any construction renovation refurbishment or remodeling of the premise you must cause the general contractor to maintain commercial general liability insurance with comprehensive automobile liability coverage for both owned and vehicle builder s risk product liability and independent contractor coverage with a reputable insurer
['obligation'],if such sum exceed five percent of the total monies owed in connection with such audited amount to about ebix will pay for all cost reasonably incurred by about in connection with the audit
['obligation'],you must also comply with the standard specification and term that we may establish regarding the offer sale and presentation of alcoholic beverage a require or approved product
['obligation'],upon receipt of such approval from network affiliate for a particular marketing material or other material ncm shall not be obligated to submit to network affiliate substantially similar material for approval provided however ncm shall timely furnish sample of all such material to network affiliate
['obligation'],if we request you must submit your regional fund contribution and report to the regional fund directly to u for distribution to the regional fund
['obligation'],in this regard bizzingo agrees to provide joseph theismann with at least thirty day written notice of any photographic session or public appearance to permit theismann to properly schedule the session or appearance
['obligation'],following the execution of this agreement theismann will provide bizzingo with an availability schedule indicating black out available date and from time to time will endeavor to update such schedule
['obligation'],shall provide the hosting service a described in appendix during the term of this agreement from the ready for service date
['obligation'],ma shall return any and all full partial copy of material related to the technology including demonstration of the technology in ma s possession or under it control to company within ten day following the termination or cancellation date of this agreement
['obligation'],upon expiration of such notice period shall immediately discontinue use of the applicable ediets mark
['obligation'],you agree to submit financial and operational report and record and document to u at the time and in the manner specified in the manual or other written instruction
['obligation'],diplomat agrees that during the term of this license it will diligently and continuously manufacture distribute and sell the product covered by this agreement and that it will make and maintain adequate arrangement for the distribution of the product
['obligation'],diplomat agrees to pay ki the minimum royalty set forth below a a minimum guarantee against royalty to be paid to ki under subparagraph a above
['obligation'],each party will also use it commercially reasonable effort to require any agent or independent contractor performing an activity pursuant to this agreement to assign all invention that are developed made or conceived by such agent or independent contractor to the relevant party according to the ownership principle described in section free and clear of all lien encumbrance charge security interest mortgage or other similar restriction
['obligation'],if the force majeure event continues for more than two consecutive calendar week then the party shall promptly meet and discus method to resolve the difficulty arising from the event of force majeure
['obligation'],if we do not approve in writing the proposed site you must within day after our disapproval of the proposed site submit a new proposed site within the and advertising area for our review and approval
['obligation'],ncm shall defend indemnify and hold harmless network affiliate and it representative from and against any and all cost suffered or incurred in connection with or a a result of and from and against any and all third party claim suit action or proceeding actually or allegedly arising out of based upon or relating to i any breach by ncm of article ix or ii ncm s fraud willful misconduct or noncompliance with law
['obligation'],ediets agrees to deliver to by no later than fifteen day after the effective date in a format specified by the initial ediets content required by this agreement including any photo text data illustration graphical element animation or banner ad
['obligation'],auriemma will participate in one photo session annually during the service period of not more than two hour not including travel time at a date and location to be mutually agreed upon
['obligation'],distributor agrees that it will diligently perform the service and obligation detailed in this agreement
['obligation'],the company shall include trademark and other notice in connection with the use of the seller licensed trademark a reasonably requested by arizona from time to time
['obligation'],company will undertake all reasonable effort to provide technical assistance to ma under this agreement when ma is unable to resolve certain technical issue and to rectify or provide solution to problem where the technology doe not function a described in the technology documentation but company doe not guarantee that the problem will be solved or that any item will be
['obligation'],for any travel incurred by theismann a part of his appearance bizzingo will provide first class air travel and hotel accommodation
['obligation'],effective a of the termination of this agreement the developer shall cease to use all of the client s trademark mark and trade name
['obligation'],primecall and deltathree shall jointly develop a deltathree prepaid calling card product or modify and improve an existing primecall product which bear the logo of each of deltathree and primecall
['obligation'],you must comply with all law and regulation relating to the selling dispensing and storing of alcoholic beverage
['obligation'],the party not pursuing the suit action or proceeding hereunder will provide reasonable assistance to the other party including by providing access to relevant document and other evidence and making it employee available subject to the other party s reimbursement of any cost incurred by the or defending party in providing such assistance
['obligation'],not later than day after we complete all the obligation specifically described in your notice you must execute and deliver the certification of performance to u
['obligation'],upon the execution of this agreement company shall provide copy of it end user license agreement to ma
['obligation'],network affiliate shall use commercially reasonable effort to provide ncm at least six month advance written notice or such lesser time for notice a may be practicable based upon the date of execution of the agreement for such disposition and the disposition date of the sale or other disposition of a theatre the loss of any theatre lease or it desire to permanently discontinue delivery of the service to a theatre collectively a disposition
['obligation'],aimmune shall commercialize the product under the trademark and the trade dress selected by aimmune the product trademark and the product trade dress respectively
['obligation'],ki will participate in up to two photo session per license year during the period of this agreement on behalf of diplomat at a mutually acceptable time and place
['obligation'],except a set forth in section woman ediets will have sole responsibility for providing and maintaining at it own expense the diet center beneath the gateway page
['obligation'],theismann agrees that any material submitted hereunder will not be unreasonably disapproved and if it is disapproved that theismann shall advise bizzingo in writing of the specific ground therefor at the time of disapproval and provide bizzingo with specific change or alteration to such material
['obligation'],the developer shall indemnify and hold harmless the client and it officer member manager employee agent contractor sub licensee affiliate subsidiary successor and assigns from and against any and all damage liability cost expense claim judgment including without limitation reasonable attorney fee and disbursement collectively the claim that any of them may suffer from or incur and that arise or result primarily from i any gross negligence or willful misconduct of the developer arising from or connected with the developer s carrying out of it duty under this agreement or ii the developer s breach of any of it obligation agreement or duty under this agreement
['obligation'],you agree to provide any information and documentation relating to the proposed transfer that we reasonably require
['obligation'],you must participate in customer service program which we have the right to specify from time to time in the manual
['obligation'],all local advertising marketing and promotion by you must be in such medium and such type and format a we may approve must be conducted in a dignified manner and must conform to such standard and requirement a we may specify
['obligation'],the nuance group shall remain liable for any breach or default of the applicable term and condition of this agreement by any of it sublicensees
['obligation'],xencor hereby agrees to save indemnify defend and hold aimmune it affiliate and their respective director officer agent and employee harmless from and against any and all loss damage liability cost and expense including reasonable attorney fee and expense collectively loss arising in connection with any and all charge complaint action suit proceeding hearing investigation claim demand judgment order decree stipulation or injunction by a third party each a claim resulting or otherwise arising from i any breach by xencor of any of it representation warranty covenant or obligation pursuant to this agreement ii the development manufacturing commercialization if applicable after the term or the performance of a clinical trial for the antibody or product conducted by or on behalf of xencor or it affiliate licensee other than aimmune and it affiliate and sublicensees sublicensees or independent contractor prior to the effective date or after the term provided that this section ii is not intended to extend to strict liability claim relating to the product iii and iv the negligence or willful misconduct by xencor or it affiliate licensee sublicensees or subcontractor or their respective officer director employee agent or consultant in performing any obligation under this agreement in each case except to the extent that such loss are subject to indemnification by aimmune pursuant to section
['obligation'],we will make available an unaudited statement of contribution and expenditure for the marketing fund day after the close of our fiscal year to franchisees that make a written request for a copy
['obligation'],if the certified manager is an individual other than operating principal and such certified manager cease to satisfy his or her obligation under this agreement due to death disability termination of employment or for any other reason the operating principal must satisfy such obligation until you designate a new certified manager of the franchised business who is acceptable to u and ha successfully completed the initial training program we require
['obligation'],the operating principal must complete our training program must have authority over all business decision related to the franchised business and must have the power to bind you in all dealing with u
['obligation'],berkshire shall reimburse auriemma for all reasonable expense incurred by auriemma in attending any requested appearance including any travel day
['obligation'],xencor shall cooperate with aimmune in any way reasonably requested by aimmune to obtain available reduction credit or refund of any vat amount attributable to transaction contemplated by this agreement
['obligation'],if we make this request you must execute and deliver the certification of performance to u within day of our request
['obligation'],prior to the release of any press release or other similar promotional material related to this agreement the releasing party shall submit a written request for approval to the other party with a copy of the material to be released which request shall be made no le than three business day prior to the requested release date
['obligation'],notwithstanding the foregoing for each end user that previously downloaded a zynga game that includes wpt s licensed property and stored such zynga game within such end user s device wpt grant a license and right to continue to use activate operate perform store use and display that game on the end user s device in perpetuity at no additional charge provided however that zynga shall use best effort to offer end user update to it game which no longer include wpt s licensed property after the term
['obligation'],upon completion of this agreement or upon written notice from the disclosing party the recipient party agrees to return all proprietary information in it possession
['obligation'],ediets and shall work together in good faith in order to implement such design and development and the continued enhancement of the diet center
['obligation'],ediets shall determine in it sole discretion the placement frequency and timing of such mention provided that ediets submits each mention to for approval and secures such approval prior to publication or distribution of such mention
['obligation'],xencor shall use commercially reasonable effort to transfer and aimmune shall use commercially reasonable effort to receive the xencor regulatory material and regulatory data in each case a identified on schedule to permit and enable aimmune or it affiliate to develop and manufacture the product pursuant to the term of this agreement no later than business day after the effective date
['obligation'],aimmune hereby agrees to save indemnify defend and hold xencor it affiliate and their respective director agent and employee harmless from and against any and all loss arising in connection with any and all claim resulting or otherwise arising from i any breach by aimmune of any of it representation warranty covenant or obligation pursuant to this agreement ii iii the negligence or willful misconduct by aimmune or it affiliate sublicensees subcontractor wholesaler or distributor or their respective officer director employee agent or consultant in performing any obligation under this agreement or iv the development manufacturing packaging and labeling or commercialization of the antibody or a product hereunder during or after the term including for clarity any product liability loss resulting therefrom by aimmune or it affiliate sublicensees subcontractor wholesaler or distributor or their respective officer director employee agent or consultant in each case except to the extent that such loss are subject to indemnification by xencor pursuant to section
['obligation'],each party will name the other party including it agent officer director employee and affiliate a an additional insured on such policy of insurance
['obligation'],you agree to submit a within twenty day after the end of each calendar month a balance sheet and income statement and b within ninety day of the end of each fiscal year an annual balance sheet and income statement
['obligation'],the company and consultant agree that the reasonable time expended in preparing such written report will be considered time devoted to the performance of the service
['obligation'],for those theatre listed on exhibit b not equipped for digital content service ncm will promptly install a digital slide projector in each auditorium necessary to exhibit the traditional content program
['obligation'],each party agrees to use the confidential information of the other party solely to the extent necessary to fulfill it obligation or exercise it right hereunder and not for any other purpose
['obligation'],elephant talk shall provide quarterly forecast in writing expressed in volume for the use of the hosting service
['obligation'],we will provide you day written notice before conducting an financial examination or audit
['obligation'],you the operating principal your designated employee must successfully complete any additional or refresher training course that we may require
['obligation'],you must obtain and maintain appropriate insurance coverage for you and for our benefit including any minimum coverage that we may establish
['obligation'],each party shall before filing a new patent application including provisionals and claiming an invention promptly disclose such invention to the other party and shall provide to the other party with a copy of the proposed patent application at least business day before filing such application or such shorter time a may be required to preserve patent right including the avoidance of a statutory bar or prior publication
['obligation'],if you or any owner dy becomes incapacitated or enters bankruptcy proceeding that person s executor administrator personal representative or trustee must apply to u in writing within three month after the event death declaration of incapacity or filing of a bankruptcy petition for consent to transfer the person s interest
['obligation'],elephant talk shall sell and market the elephant talk wholesale service to elephant talk customer in it own name for it own account and on it own risk subject to the term of this agreement
['obligation'],the client shall indemnify and hold harmless the developer from and against all claim that it may suffer from or incur and that arise or result primarily from i the client s operation of it business ii the client s breach or alleged breach of or it failure or alleged failure to perform under any agreement to which it is a party or iii the client s breach of any of it obligation agreement or duty under this agreement provided however none of the foregoing result from or arise out of the action or inaction of the developer
['obligation'],affiliate will be solely responsible for ensuring that the link are formatted properly and maintained in a manner which allows chase to track such approved account
['obligation'],in addition shall indemnify against any and all claim loss cost and expense including reasonable attorney fee which may incur a a result of claim in any form by third party arising from content
['obligation'],with respect to any theatre subsequently designated a an excluded theatre the party will negotiate in good faith term for the discontinuation of delivery of the service to such excluded theatre
['obligation'],you must contribute each period commencing from the time we establish the marketing fund to the marketing fund a provided in section advertising contribution together with such statement or report a we or the regional fund with our prior written approval may require
['obligation'],consultant agrees to indemnify and hold harmless the company and it affiliate and subsidiary and their respective director officer and employee from and against all tax loss damage liability cost and expense including attorney fee and other legal expense arising directly or indirectly from or in connection with i any negligent reckless or intentionally wrongful act of consultant or consultant s assistant employee contractor or agent ii performance of the service or any breach by the consultant or consultant s assistant employee contractor or agent of any of the covenant contained in this agreement iii any failure of consultant to perform the service in accordance with all applicable law rule and regulation iv any violation or claimed violation of a third party s right resulting in whole or in part from the company s use of the invention or other deliverable of consultant under this agreement or v any amount company is required to pay by any court or governmental authority in any country based on a finding that consultant s employee or contractor engaged in the performance of the service are employee of company or the failure of consultant to file document with respect to such employee or contractor or to pay any tax or similar fee or assessment in any country
['obligation'],shall within two week make any overdue payment disclosed by the audit
['obligation'],ma shall keep accurate record of the sale of the technology and maintenance including client registration card and shall make these record available for review by a representative of company within ten business day following the end of each month
