sentence,tag,,,,,,,,,
"Zynga will pay WPT three million U.S. dollars ($3,000,000) per year according to the following schedule (which the parties may alter upon mutual agreement) (the “Annual Minimum Guarantee”): a. Within thirty (30) days of executing this Agreement: $1.5M b. July 1, 2018: $1.5M c. January 1, 2019: $1.5M d. July 1, 2019: $1.5M e. January 1, 2020: $1.5M f. July 1, 2020: $1.5M",['obligation'],,,,,,,,,
Zynga will pay to WPT ten percent (10%) of the cumulative Net Revenue (as defined in Section 3.b. of the Additional Provisions) (“Royalty”) from the WPT-branded Zynga Poker Tournament Mode or other such use of the WPT brand on the Zynga platform.,['obligation'],,,,,,,,,
Zynga shall not be required to pay the Royalty to the extent offset by the Annual Minimum Guarantee payments previously paid to WPT during the Term.,['prohibition'],,,,,,,,,
"Conversely, Zynga shall not be required to make Annual Minimum Guarantee payments to the extent offset by the Royalty previously paid to WPT during the Term.",['prohibition'],,,,,,,,,
"To the extent indicated on Exhibit A, each party will provide the other party with electronic files containing the Licensed Property of such party to be used under this Agreement, as specified in Exhibit B, if any.",['obligation'],,,,,,,,,
"In its use of the Licensed Property of the other party (“Licensee”), each party (“Licensor”) will comply with any trademark usage guidelines that Licensor may communicate to Licensee from time to time.",['obligation'],,,,,,,,,
Licensee will provide Licensor with copies of any materials bearing any of Licensor's marks as requested by Licensor from time to time.,['obligation'],,,,,,,,,
"If Licensee’s use of any of Licensor’s marks, or if any material bearing such marks, does not comply with the then-current trademark usage policies provided in writing by Licensor, Licensee will promptly remedy such deficiencies upon receipt of written notice of such deficiencies from Licensor.",['obligation'],,,,,,,,,
"Licensee will not, at any time during or after this Agreement, register, attempt to register, claim any interest in, contest the use of, or otherwise adversely affect the validity of any of Licensor’s marks (including, without limitation, any act or assistance to any act, which may infringe or lead to the infringement of any such marks).",['prohibition'],,,,,,,,,
The Licensed Property shall be displayed or used only in such form and in such manner as has been approved in writing (which may be by email) by Licensor pursuant to this Section 2 and Licensee shall ensure its usage of the Licensed Property solely as approved.,['obligation'],,,,,,,,,
"Throughout the Term, including any renewals or extensions (if applicable), Licensee shall comply with reasonable quality standards, style guides and clear specifications communicated to Licensee and rights of approval of Licensor set forth in this Section 2 with respect to any and all of its usage of the Licensed Property.",['obligation'],,,,,,,,,
"The parties will come to agreement with respect to Exhibit A as to whether prior written approval is needed in every instance or whether it is not needed after the first instance has been approved in writing (e.g., given exigencies in television production business, it is reasonable that Zynga would approve the use of its brand conceptually in elements of an episode but not need to re-approve the use in a similar manner for every episode the brand is used in; and similarly, given exigencies in the social gaming business, it is reasonable that WPT would approve use of its brand conceptually in elements of the Zynga platform but not need to re-approve the use in a similar manner for every poker tournament the brand is used in).",['obligation'],,,,,,,,,
"Licensee may use textual and/or pictorial matter pertaining to the Licensed Property on such promotional, display and advertising material as may, in Licensee’s reasonable judgment, promote the awareness, consumption and sale of the Licensed Property.",['permission'],,,,,,,,,
"Licensor will use commercially reasonable efforts to provide approval and/or feedback within five (5) business days after its receipt of a creative submission, or re-submission, with respect to the Licensed Property or marketing materials; provided that: (a) if Licensor declines to approve any submission or re-submission, then it shall provide reasonably detailed feedback in order to enable Licensee to modify the Licensed Property or marketing material accordingly in order to address Licensor’s concerns and obtain Licensor’s approval, and (b) if Licensor fails to (1) approve or (2) disapprove and provide feedback within such timeframe, then such submission or re-submission is deemed to have been approved.",['obligation'],,,,,,,,,
No approval may be unreasonably withdrawn by Licensor once delivered.,['prohibition'],,,,,,,,,
Zynga shall advise WPT to Zynga’s knowledge as to which jurisdictions where it may be illegal to advertise Zynga’s Licensed Property (if any) given local laws or regulations.,['obligation'],,,,,,,,,
WPT or its affiliates shall not authorize a Zynga Competitor to commercially exploit the Licensed Property in connection with social poker gaming via a license similar to the license granted herein for the Term,['prohibition'],,,,,,,,,
The parties agree to work together in good faith to amend the definition of a Zynga Competitor if that meaning for Zynga reasonably changes during the Term.,['obligation'],,,,,,,,,
"The parties acknowledge and agree that, except for the rights and licenses expressly granted by each party to the other party under this Agreement, each party will retain all right, title and interest in and to its products, services, marks, copyrights or other intellectual property, and all content, information and other materials on its website(s), and nothing contained in this Agreement will be construed as conferring upon such party, by implication, operation of law or otherwise, any other license or other right.",['obligation'],,,,,,,,,
Zynga will pay to WPT the Annual Minimum Guarantee as set forth in the Basic Provisions.,['obligation'],,,,,,,,,
"If withholding taxes are required, Zynga may account for the required amount of such withholding taxes when calculating the Royalty or other payments payable prior to remittance to WPT.",['permission'],,,,,,,,,
Zynga shall provide WPT with an official receipt or other equivalent documentation issued by the appropriate taxing authority or other evidence as is reasonably requested by WPT to establish that such taxes have been paid,['obligation'],,,,,,,,,
"Zynga shall pay all amounts accruing under this Agreement for any reporting period to WPT by check or wire transfer to the account specified by WPT in writing, concurrently with Zynga’s delivery of the applicable report under Section 3(d), provided that payments will only be paid if the amount owed to WPT for any reporting period is greater than five hundred dollars ($500.00).",['obligation'],,,,,,,,,
"Zynga will, within thirty (30) days of the end of each calendar quarter, commencing with the first full calendar quarter following the Effective Date, furnish WPT with complete statements containing the following information with respect to all Net Revenue from the use of the WPT-brand on the Zynga platform, during the preceding period covered by such statement: the Territory; the amount due WPT (or the remaining unrecouped Annual Minimum Guarantee balance as applicable); Net Revenue; Royalties rate; the distribution channels or portals, the platform, the territory(ies), and itemized Allowable Deductions (“Royalty Statement(s)”).",['obligation'],,,,,,,,,
"Zynga shall keep full, complete and accurate books of account and records (collectively “records”) covering all transactions relating to the subject matter of this Agreement in sufficient detail to enable the Royalties payable hereunder to be determined and verified.",['obligation'],,,,,,,,,
"Zynga shall permit such records to be examined by authorized representatives of WPT, including such independent auditors as WPT may designate, during usual business hours, with advance notice, to verify to the extent necessary the Royalties paid hereunder, and WPT and its representatives shall use reasonable efforts to minimize disruptions to Zynga’s business.",['obligation'],,,,,,,,,
Prompt adjustment shall be made by Zynga to compensate for any errors or omissions disclosed by such examination.,['obligation'],,,,,,,,,
Neither party will be liable to pay the other party any other types of charges or expenses not agreed to in this Agreement or any related amendment signed by the Parties.,['prohibition'],,,,,,,,,
"WPT shall indemnify, defend, and hold harmless Zynga and its Affiliates, and the respective directors, officers and employees of the foregoing (the “Zynga Indemnified Parties”) from and against any and all third party claims, actions, suits, costs, liabilities, judgments, obligations, losses, penalties, expenses or damages (including, without limitation, reasonable legal fees and expenses) of whatsoever kind and nature imposed on, incurred by or asserted against any of the Zynga Indemnified Parties arising out of: (i) any breach or alleged breach by WPT of any representation, warranty or covenant made, by WPT pursuant to this Agreement; or (ii) WPT’s non-compliance with any applicable federal, state or local laws or with any applicable regulations in connection with its performance of this Agreement.",['obligation'],,,,,,,,,
"Zynga shall indemnify, defend, and hold harmless WPT and its Affiliates, and the respective directors, officers and employees of the foregoing (the “WPT Indemnified Parties”) from and against any and all third party claims, actions, suits, costs, liabilities, judgments, obligations, losses, penalties, expenses or damages (including, without limitation, reasonable legal fees and expenses) of whatsoever kind and nature imposed on, incurred by or asserted against any of the WPT Indemnified Parties arising out: (i) any breach or alleged breach by Zynga of any representation, warranty or covenant made by Zynga pursuant to this Agreement; or (ii) Zynga’s non-compliance with any applicable federal, state or local laws or with any applicable regulations in connection with its performance of this Agreement.",['obligation'],,,,,,,,,
In order to seek or receive indemnification hereunder in cases involving third-party claims the party seeking indemnification (the “Indemnified Party”) must have promptly notified the other (the “Indemnifying Party”) of any claim or litigation of which the Indemnified Party is aware and to which the indemnification relates; and the Indemnified Party must reasonably cooperate with Indemnifying Party in the defense or settlement of such claim or litigation.,['obligation'],,,,,,,,,
"With regard to any claim or litigation to which the Indemnifying Party itself is not a party, the Indemnifying Party must have afforded the Indemnified Party the opportunity to participate in any compromise, settlement, litigation or other resolution or disposition of such claim or litigation.",['obligation'],,,,,,,,,
"Each party shall have the right at any time to terminate this Agreement without prejudice to any rights which it may have, whether pursuant to the provisions of this Agreement or otherwise in law or in equity or otherwise, upon the occurrence of any one or more of the following events: i. The other party breaches or fails to perform any of its material obligations provided for in this Agreement; ii. The other party is unable to pay its debts when due, or makes any assignment for the benefit of creditors, or files any petition under the bankruptcy or insolvency laws of any jurisdiction, county or place, or has or suffers a receiver or trustee to be appointed for its business or property, or is adjudicated a bankrupt or an insolvent; or iii. The other party asserts any rights in or to the terminating party’s intellectual property in violation of this Agreement.",['permission'],,,,,,,,,
"In the event that any of these events of default should occur and a party elects to exercise its right to terminate this Agreement, such party shall give notice of termination in writing to the other party, which notice shall specify in reasonable detail the event(s) of default that give rise to such termination.",['obligation'],,,,,,,,,
"The other party shall have thirty (30) days from the effective date of such notice in which to correct any such default(s) (except those which are not curable), and failing such correction by the end of such thirty (30) day cure period, this Agreement shall thereupon immediately terminate.",['obligation'],,,,,,,,,
"Upon expiration or termination of this Agreement: a. All rights granted to WPT by Zynga shall immediately revert to Zynga, and WPT shall promptly cease any and all marketing and promotional activities using Zynga’s Licensed Property.",['obligation'],,,,,,,,,
"All rights granted to Zynga by WPT shall immediately revert to WPT, and Zynga shall promptly cease any and all marketing and promotional activities using WPT’s Licensed Property.",['obligation'],,,,,,,,,
"Notwithstanding any termination of this Agreement, nothing herein will obligate Zynga, any users of a Zynga game that includes WPT’s Licensed Property or any third party platform or distribution partners to remove from the publicly available content regarding Zynga services or any user accounts with Zynga, any of the references to user interactions, experience points, achievements, item purchases or other engagements or metrics in the Zynga game(s) that were generated prior to the expiration or termination of this Agreement.",['prohibition'],,,,,,,,,
"Neither party shall have the right to obligate or bind the other party in any manner whatsoever, and nothing herein contained shall give, or is intended to give, any rights of any kind to any third persons.",['prohibition'],,,,,,,,,
"Force Majeure. In the event that either party is prevented from engaging in the marketing and promotional activities in Exhibit A manufacturing, distributing or selling the Licensed Property because of any act of God; unavoidable accident; fire, epidemic; strike, lockout, or other labor dispute; war, riot or civil commotion; act of public enemy; enactment of any rule, law, order or act of government or governmental instrumentality (whether federal, state, local or foreign); or other cause beyond such party’s control, and such condition continues for a period of two (2) months or more, either party hereto shall have the right to terminate this Agreement effective at any time during the continuation of such condition by giving the other party at least thirty (30) days’ notice to such effect.",['permission'],,,,,,,,,
"Without the prior written consent of the other party, neither party shall assign or transfer any of its rights or obligations hereunder, in whole or in part, to any third party, and any purported assignment without such prior written consent shall be null and void and of no force and effect; except that notice, but no consent shall be required for such assignment or transfer in connection with an internal reorganization or sale of the transferring party, including by merger or other business combination, or a sale of substantially all of the assets of the transferring party.",['prohibition'],,,,,,,,,
"The parties shall endeavor in good faith negotiations to replace the invalid, illegal or unenforceable terms with valid terms the economic effect of which comes as close as possible to that of the invalid, illegal or unenforceable terms.",['obligation'],,,,,,,,,
"WPT shall promote the Zynga brand in the following activities: ● Prominent display of the Zynga or Zynga Poker brand in WPT Tournaments and WPT Invitational Tournaments, subject to venue approval, network approval and inventory space given existing sponsorship deals",['obligation'],,,,,,,,,
Zynga shall promote the WPT brand in the following activities: ● Creation of a WPT-branded Zynga Poker Tournament Mode playable in the Zynga Poker game or other such use of the WPT brand on the Zynga platform as Zynga determines,['obligation'],,,,,,,,,
"The Blockchain Administrator shall perform (or oversee, or arrange for, the performance of) development and administrative services necessary for the issuance of the Fund’s shares as ERC-1404 compatible digital securities (“Shares”) and the on-going maintenance and administration of the smart contracts underlying such Shares.",['obligation'],,,,,,,,,
"Without limiting the generality of the foregoing, the Blockchain Administrator shall provide the Fund with facilities, equipment, technology, coding and such other services as the Blockchain Administrator, subject to review by the Board, shall from time to time determine to be necessary or useful to perform its obligations under this Agreement.",['obligation'],,,,,,,,,
"The Blockchain Administrator shall also, on behalf of the Fund, conduct relations with custodians, depositories, transfer agents, dividend disbursing agents, other stockholder servicing agents, accountants, attorneys, underwriters, brokers and dealers, corporate fiduciaries, insurers, banks and such other persons as the Blockchain Administrator shall deem to be necessary or desirable in connection with the issuance and transfer of the Fund’s ERC-1404 compatible digital security,.",['obligation'],,,,,,,,,
"The Blockchain Administrator shall make reports to the Board of its performance of obligations hereunder and furnish advice and recommendations with respect to such other aspects of the business and affairs of the Fund as it shall determine to be desirable; provided that nothing herein shall be construed to require the Blockchain Administrator to, and the Blockchain Administrator shall not, in its capacity as Blockchain Administrator pursuant to this Agreement, provide any advice or recommendation relating to the securities and other assets that the Fund should purchase, retain or sell or any other investment advisory services to the Fund.","['obligation', 'prohibition']",,,,,,,,,
"The Blockchain Administrator shall for all purposes herein be deemed to be an independent contractor and shall, unless otherwise expressly provided or authorized herein, have no authority to act for or represent the Fund in any way or otherwise be deemed an agent of the Fund.",['prohibition'],,,,,,,,,
The Blockchain Administrator is hereby authorized to enter into agreements with other service providers pursuant to which the Blockchain Administrator may obtain the services of the service providers in fulfilling its responsibilities hereunder.,['permission'],,,,,,,,,
The Blockchain Administrator shall ensure that any such service provider shall operate in conformity with the requirements of the Investment Company Act and other applicable federal and state law and shall maintain books and records of the Fund (if any) in a manner substantially similar to Section 2 of this Agreement.,['obligation'],,,,,,,,,
"The Blockchain Administrator agrees to maintain and keep all books, accounts and other records of the Fund that relate to activities performed by the Blockchain Administrator hereunder and will maintain and keep such books, accounts and records in accordance with the Investment Company Act.",['obligation'],,,,,,,,,
The Blockchain Administrator shall have the right to retain copies of such records subject to observance of its confidentiality obligations under this Agreement.,['permission'],,,,,,,,,
The parties hereto agree that each shall treat confidentially the terms and conditions of this Agreement and all information provided by each party to the other regarding its business and operations.,['obligation'],,,,,,,,,
"The Blockchain Administrator (and its officers, managers, partners, agents, employees, controlling persons, members and any other person or entity affiliated with the Blockchain Administrator) shall not be liable to the Fund for any action taken or omitted to be taken by the Blockchain Administrator in connection with the performance of any of its duties or obligations under this Agreement or otherwise as blockchain administrator of the Fund, and the Fund shall indemnify, defend and protect the Blockchain Administrator (and its officers, managers, partners, agents, employees, controlling persons, members and any other person or entity affiliated with the Blockchain Administrator) (collectively, the ""Indemnified Parties"") and hold them harmless from and against all damages, liabilities, costs and expenses (including reasonable attorneys' fees and amounts reasonably paid in settlement) incurred by the Indemnified Parties in or by reason of any pending, threatened or completed action, suit, investigation or other proceeding (including an action or suit by or in the right of the Fund or its security holders) arising out of or otherwise based upon the performance of any of the Blockchain Administrator's duties or obligations under this Agreement or otherwise as administrator of the Fund.","['prohibition', 'obligation']",,,,,,,,,
"The provisions of Section 5 of this Agreement shall remain in full force and effect, and the Blockchain Administrator shall remain entitled to the benefits thereof, notwithstanding any termination of this Agreement.",['permission'],,,,,,,,,
"The Company shall ensure that all goods and services provided by the Company, under or in association with any of the Seller Licensed Trademarks, shall (i) be substantially the same as or greater than the quality of goods and services provided under such Seller Licensed Trademarks immediately prior to the Effective Date and (ii) not be associated with any goods or services, including any activities, that are reasonably likely to have an adverse effect on (A) the image or reputation of any of the Seller Licensed Trademarks or (B) Seller’s right, title or interest in and to, any of the Arizona Licensed Trademarks.","['obligation', 'prohibition']",,,,,,,,,
The Company shall not tarnish or bring into disrepute the reputation of or goodwill associated with the Seller Licensed Trademarks or Arizona.,['prohibition'],,,,,,,,,
The Company shall use the Seller Licensed Trademarks at all times in compliance with all applicable Laws.,['obligation'],,,,,,,,,
The Company shall include trademark and other notices in connection with the use of the Seller Licensed Trademarks as reasonably requested by Arizona from time to time.,['obligation'],,,,,,,,,
"The Company shall upon Arizona’s reasonable request from time to time, supply to Arizona representative samples and/or written descriptions, as appropriate, of uses made by the Company of the Seller Licensed Trademarks.",['obligation'],,,,,,,,,
"The Buyer Entities acknowledge that this license grant does not include, and the Company shall receive no rights under this Agreement or the Stock Purchase Agreement, to use any Trademark that is confusingly similar to or derivative of a Seller Licensed Trademark (other than the Seller Licensed Trademarks themselves as expressly authorized hereunder).",['prohibition'],,,,,,,,,
"In addition to the obligations set forth in Section 6.3, and notwithstanding any other provision of this Agreement, the Company shall comply with all obligations applicable to Arizona and its Affiliates under the Trademark License Agreement including, for the avoidance of doubt, any obligations with respect to reporting Complaints (as defined in the Trademark License Agreement), which reports the Company shall provide to Arizona, and quality control and standards, and Licensor Competitors (as defined in the Trademark License Agreement), and neither Party shall undertake any act that would constitute a breach or a basis for termination under the Trademark License Agreement.","['obligation', 'prohibition']",,,,,,,,,
"The Company shall not create or use any corporate or trade names that include the Arizona Licensed Trademarks, other than those in existence immediately prior to the Effective Date.",['prohibition'],,,,,,,,,
"No later than thirty (30) days following the Closing, each of AWP and the Company shall change its respective corporate name and trade name and cause its organizational documents to be amended to remove any reference to “Armstrong.”",['obligation'],,,,,,,,,
"With respect to any Trademarks notified to the Company in writing after the Effective Date that are used as of the Effective Date in the Company Field and are not (i) owned by any Company Entity, (ii) Arizona Assigned Trademarks, or (iii) Seller Licensed Trademarks (the “Phase-Out Marks”) in each case (i)-(iii) the Company shall have a period of twenty-four (24) months from the date of notification to phase out all use.",['obligation'],,,,,,,,,
The Company shall not have the right to register any domain name or social media addresses (or any similar or successor identifiers) containing Arizona Licensed Trademarks.,['prohibition'],,,,,,,,,
"Arizona may sublicense the licenses granted herein to its Affiliates and Third Parties in the ordinary course of business in support of its and its Affiliates’ business, but not for the independent use of Third Parties, and the Company may sublicense the licenses granted herein to Third Parties, its Subsidiaries, AWP, controlled Affiliates, or any holding company that is a direct or indirect parent of the Company in the ordinary course of business in support of its and its Subsidiaries’ or controlled Affiliates’ business, but not for the independent use of Third Parties (each such Affiliate, Third Party, AWP or Subsidiary, a “Sublicensee”).","['permission', 'prohibition']",,,,,,,,,
Each Party shall ensure that any sublicense that it grants to a Sublicensee does not conflict with this Agreement.,['obligation'],,,,,,,,,
"At the request of a licensing Party, the other Party shall provide to the licensing Party a list of all Sublicensees and otherwise reasonably cooperate with the licensing Party in connection with Sublicensees’ compliance with this Agreement.",['obligation'],,,,,,,,,
"The Buyer Entities acknowledge and agree that (a) Arizona and its Affiliates own the Arizona Licensed IP (other than the Arizona Licensed Trademarks), (b) AWI Licensing LLC owns the Arizona Licensed Trademarks, (b) neither the Company, nor its Affiliates or its Sublicensees, will acquire any ownership rights in the Arizona Licensed IP, and (c) the Company shall not represent or make any claim that it has an ownership interest in any Arizona Licensed IP.",['prohibition'],,,,,,,,,
"Arizona acknowledges and agrees that (a) the Company and its Affiliates own the Company Licensed IP, (b) neither Arizona, nor its Affiliates or its Sublicensees, will acquire any ownership rights in the Company Licensed IP, and (c) Arizona shall not represent or make any claim that it has an ownership interest in any Company Licensed IP.",['prohibition'],,,,,,,,,
"Without limitation to the foregoing, Arizona shall not file applications to register any Company Licensed IP or assist any person in doing the same, or contest, challenge, or otherwise take any action adverse to the Company’s and its Affiliates’ ownership of or rights in and to the Company Licensed IP, or assist any person in doing the same.",['prohibition'],,,,,,,,,
"Without limitation to the foregoing, the Company shall not file applications to register any Arizona Licensed IP or assist any person in doing the same, or contest, challenge, or otherwise take any action adverse to Arizona’s and its Affiliates’ ownership of or rights in and to the Arizona Licensed IP, or assist any person in doing the same.",['prohibition'],,,,,,,,,
"As between the Parties, Arizona, with respect to the Arizona Licensed IP, and the Buyer Entities, with respect to the Company Licensed IP, shall have the right (but not the obligation) for filing, prosecuting, and maintaining all Arizona Licensed IP and Company Licensed IP, respectively, in the licensing Party’s name.",['permission'],,,,,,,,,
The Parties shall reasonably consult and coordinate with each other at the other Party’s request with respect to the matters set forth in this Section 9.1.,['obligation'],,,,,,,,,
"This Agreement shall not obligate either Party to disclose to the other Party, or maintain, register, prosecute, pay for, enforce, or otherwise manage any Intellectual Property except as expressly set forth herein.",['prohibition'],,,,,,,,,
"As between the Parties, Arizona, with respect to the Arizona Licensed IP, and the Company or Buyer, with respect to the Company Licensed IP, shall have the right (but not the obligation) to elect to bring a Proceeding or enter into settlement discussions regarding, or otherwise seek to resolve, any infringement, misappropriation, or other violation, or allegations of invalidity or unenforceability, of the Licensed IP.",['permission'],,,,,,,,,
"In the event that Arizona declines to institute any Proceedings against third-party infringers or violators of any Arizona Licensed Patents, regarding activities that would fall within the Company Field if conducted by the Company, within forty-five (45) days after being notified or becoming aware of such infringing conduct, the Company or Buyer shall have the right to institute any Proceedings against such third-party infringers or violators.",['permission'],,,,,,,,,
"In the event that the Company or Buyer elects to institute such Proceedings, Arizona will reasonably cooperate with the Company or Buyer in such Proceedings, and the Company or Buyer shall reimburse Arizona for all reasonable costs and fees incurred by Arizona as a result of such cooperation.",['obligation'],,,,,,,,,
"In the event that Arizona elects to bring a Proceeding against any alleged infringer of the Arizona Licensed Trademarks and seeks the cooperation of the Licensor of the Trademark License Agreement in such Proceeding, Arizona will take reasonable steps to assist the Company or Buyer in requesting the cooperation of the Licensor of the Trademark License Agreement, and pursuing an infringement claim against such alleged infringer.",['obligation'],,,,,,,,,
"The Company or Buyer, as applicable, shall retain all benefits, recoveries, injunctions or other value derived from such Proceedings instituted by such Party.",['obligation'],,,,,,,,,
"Either Party may terminate this Agreement if the other Party materially breaches this Agreement and fails to remedy such breach within thirty (30) days’ written notice thereof; provided, however, that if the material breach of this Agreement by the breaching Party is limited to the Licensed Copyrights, Licensed Know-How, the Arizona Licensed Patents, or the Licensed Trademarks, the non-breaching Party shall be entitled to termination solely with respect to the affected part of the license (i.e., in such case, the non-breaching Party may terminate this Agreement with respect to the Licensed Copyrights or the Licensed Know-How or the Arizona Licensed Patents or the Licensed Trademarks, as applicable).",['permission'],,,,,,,,,
"Effect of Termination. Upon termination of this Agreement, each licensee Party shall and shall cause all of its Sublicensees to cease all use of the Licensed IP that is subject to such termination (excluding for clarity (a) any Arizona Licensed Patents, Licensed Copyrights or Licensed Trademarks that are expired, invalid or abandoned or (b) any Licensed Know-How that no longer constitutes confidential information).",['obligation'],,,,,,,,,
"13.2 Assignment. Except as otherwise provided in this Agreement, including under Section 7.1, neither this Agreement nor any of the rights, interests or obligations of any Party under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise, by either Party without the prior written consent of the other Party; provided, however, that (a) either Party may assign any of the foregoing in connection with the sale or other transfer of the applicable business or assets of such Party or its Affiliates to which this Agreement relates (except that neither of the Buyer Entities may assign any such rights, interests or obligations with respect to the Arizona Licensed Trademarks); (b) Arizona may assign any of the foregoing to one or more of its Affiliates and (c) the Company and Buyer may assign any of the foregoing to one or more of its Subsidiaries, controlled Affiliates, AWP, or any holding company that is a direct or indirect parent of the Company; provided that in each case (b) and (c), no assignment shall relieve the assigning Party of any of its obligations under this Agreement unless agreed to by the non-assigning Party.","['prohibition', 'permission']",,,,,,,,,
"Accordingly, each Party hereto also agrees that, in the event of any breach or threatened breach of the provisions of this Agreement by such Party, Arizona, on the one hand, and the Buyer Entities, on the other hand, shall be entitled to equitable relief without the requirement of posting a bond or other security, including in the form of injunctions and orders for specific performance.",['permission'],,,,,,,,,
"Arizona, on the one hand, and Buyer Entities, on the other hand, hereby agree not to raise any objections to the availability of the equitable remedy of specific performance to prevent or restrain breaches or threatened breaches of this Agreement by the Buyer Entities or Arizona, as applicable, and to specifically enforce the terms and provisions of this Agreement to prevent breaches or threatened breaches of, or to enforce compliance with, the covenants and obligations of the Buyer Entities or Arizona, as applicable, under this Agreement.","['prohibition', 'obligation']",,,,,,,,,
"Upon such determination that any such term or other provision, or any portion thereof, is invalid, illegal or incapable of being enforced, the Parties hereto shall negotiate in good faith to modify this Agreement so as to effect the original intent of the Parties as closely as possible in an acceptable manner to the end that the transactions contemplated hereby are consummated to the fullest extent possible.",['obligation'],,,,,,,,,
"Subject to the terms of Paragraph 6 below, Auriemma will make the appearances and provide to Berkshire during the Services Period the services, initiatives and programs described in Schedule A attached hereto (the “Endorsement Services”); and b) Auriemma grants to Berkshire the exclusive right and license (the “License Rights”) to use the Auriemma Identification during the Contract Period and throughout the Contract Territory solely in connection with the advertisement and promotion of Berkshire and the Financial Services; c) The License Rights are exclusive to Berkshire and may not be assigned or in any way conveyed by Berkshire without Auriemma’s express written consent, except in the event of a merger by Berkshire with another entity offering Banking Services.","['obligation', 'prohibition']",,,,,,,,,
"Auriemma expressly agrees and undertakes that: a) The right to use the Auriemma Identification has not been previously granted nor will it be granted to anyone other than Berkshire for use during the Contract Period within the Contract Territory in connection with the advertisement, promotion and sale of products and services which are the same as or similar to any of the Financial Services; b) Auriemma will not enter into any arrangement or agreement, which enables any Berkshire Competitor to be endorsed by Auriemma (whether by using the Auriemma Identification, Auriemma providing services similar to the Endorsement Services, or otherwise) during the Contract Period within the Contract Territory. Notwithstanding the foregoing, it is understood that Auriemma has no control or influence over any decisions by the University of Connecticut to enter into any arrangement or agreement with any Berkshire Competitor.",['prohibition'],,,,,,,,,
